Season,Name,Team,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,RS,RS/9,Balls,Strikes,Pitches,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,NameASCII,PlayerId,MLBAMID
2023,"Logan Gilbert","SEA",0.2723735408560311,1.022935779,0.180297397,0.414498141,0.40520446,0.087155963,0.133027522,110,5.192307969329832,962,1962,2924,0.42725599,0.33517495,0.23756906,0.1252302,0.54143646,0.33333333,"Logan Gilbert",22250,669302
2024,"Ryan Pressly","HOU",0.3333333333333333,1.702127659,0.225609756,0.487804878,0.286585365,0.021276595,0.085106382,18,2.8588238501631626,338,631,969,0.41818182,0.37575758,0.20606061,0.13333333,0.53333333,0.33333333,"Ryan Pressly",7005,519151
2024,"Génesis Cabrera","TOR",0.29444444444444445,1.142857142,0.197860962,0.427807486,0.37433155,0.157142857,0.142857142,28,4.021277493295313,386,645,1031,0.46560847,0.31216931,0.22222222,0.17460317,0.49206349,0.33333333,"Genesis Cabrera",17490,650893
2024,"Jake Woodford","- - -",0.34146341463414637,0.9375,0.2734375,0.3515625,0.375,0.020833333,0.125,10,2.5714286414944416,235,383,618,0.4496124,0.31782946,0.23255814,0.13178295,0.53488372,0.33333333,"Jake Woodford",18674,663765
2024,"Mike Baumann","- - -",0.30303030303030304,0.944444444,0.190751445,0.393063583,0.416184971,0.055555555,0.125,33,5.0914295199979875,390,677,1067,0.35632184,0.35057471,0.29310345,0.11494253,0.55172414,0.33333333,"Mike Baumann",20206,657508
2024,"Cole Sands","MIN",0.2896174863387978,0.851851851,0.202127659,0.367021276,0.430851063,0.12345679,0.074074074,44,5.55140285873464,385,769,1154,0.36507937,0.37037037,0.26455026,0.18518519,0.48148148,0.33333333,"Cole Sands",21461,663485
2024,"Randy Vásquez","SDP",0.3302180685358255,1.024,0.235649546,0.386706948,0.377643504,0.16,0.104,56,5.142857142857143,597,1091,1688,0.37837838,0.41141141,0.21021021,0.17717718,0.48948949,0.33333333,"Randy Vasquez",24719,681190
2024,"Declan Cronin","MIA",0.3645320197044335,2.4375,0.187192118,0.576354679,0.236453201,0.020833333,0.020833333,22,2.8151663857349534,392,705,1097,0.37745098,0.35784314,0.26470588,0.1372549,0.52941176,0.33333333,"Declan Cronin",25645,686539
2024,"Patrick Corbin","WSN",0.3370165745856354,1.415300546,0.209302325,0.46332737,0.327370304,0.098360655,0.136612021,68,3.5038169979542158,1057,1831,2888,0.38380282,0.39788732,0.21830986,0.14084507,0.52640845,0.33274648,"Patrick Corbin",9323,571578
2022,"Dane Dunning","TEX",0.3129251700680272,1.833333333,0.176211453,0.533039647,0.290748898,0.053030303,0.151515151,78,4.578261021431998,962,1586,2548,0.45869565,0.35217391,0.18913043,0.15,0.5173913,0.3326087,"Dane Dunning",19409,641540
2022,"JT Brubaker","PIT",0.3341288782816229,1.324137931,0.22706422,0.440366972,0.332568807,0.089655172,0.117241379,68,4.25,853,1529,2382,0.43807339,0.34862385,0.21330275,0.14678899,0.5206422,0.33256881,"JT Brubaker",17578,664141
2023,"Kodai Senga","NYM",0.27735368956743,1.231292517,0.190123456,0.44691358,0.362962962,0.136054421,0.115646258,95,5.1402807183055295,1103,1700,2803,0.41564792,0.33251834,0.25183374,0.16136919,0.50611247,0.33251834,"Kodai Senga",31838,673540
2023,"Clayton Kershaw","LAD",0.25,1.433628318,0.193548387,0.475073313,0.331378299,0.14159292,0.168141592,90,6.151898496530325,693,1336,2029,0.49271137,0.27696793,0.2303207,0.15451895,0.51311953,0.33236152,"Clayton Kershaw",2036,477132
2023,"Jordan Lyles","KCR",0.25464684014869887,0.689530685,0.178947368,0.335087719,0.485964912,0.129963898,0.140794223,109,5.52157630113534,1041,1780,2821,0.4626087,0.32,0.2173913,0.13913043,0.52869565,0.33217391,"Jordan Lyles",7593,543475
2024,"Gerrit Cole","NYY",0.27346938775510204,0.876106194,0.171875,0.38671875,0.44140625,0.14159292,0.097345132,52,4.926315789473684,539,998,1537,0.37109375,0.33984375,0.2890625,0.1796875,0.48828125,0.33203125,"Gerrit Cole",13125,543037
