Season,Name,Team,IP,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,Pace,NameASCII,PlayerId,MLBAMID
2023,"Reese Olson","DET",103.2,0.304253,0.63801453,0.46242111,0.47670251,0.88425047,0.74317618,0.47389558,17.66464799,"Reese Olson",24968,681857
2024,"Jared Shuster","CHW",73.1,0.23963134,0.7057903,0.47054264,0.57692308,0.84922395,0.77924217,0.49534884,17.66424116,"Jared Shuster",27472,694363
2024,"Emerson Hancock","SEA",60.2,0.26501035,0.71374765,0.5,0.6640625,0.85488127,0.80670611,0.52366864,17.65814266,"Emerson Hancock",27470,676106
2024,"Ryan Pepiot","TBR",130,0.29111531,0.66086159,0.47882736,0.52272727,0.81969487,0.73080661,0.50767799,17.65710723,"Ryan Pepiot",26221,686752
2024,"Jose A. Ferrer","WSN",32,0.3019802,0.61678832,0.48319328,0.50819672,0.89349112,0.79130435,0.57563025,17.64553314,"Jose A. Ferrer",24017,678606
2024,"Bailey Ober","MIN",178.2,0.33462733,0.6953125,0.52299703,0.54756381,0.80796731,0.72836879,0.52225519,17.63737374,"Bailey Ober",21224,641927
2023,"Austin Gomber","COL",139,0.24543611,0.66609881,0.47407407,0.64876033,0.88491049,0.82910156,0.54351852,17.62886598,"Austin Gomber",16561,596295
2024,"Tanner Gordon","COL",34.1,0.32950192,0.69364162,0.53706755,0.73255814,0.86666667,0.83128834,0.57001647,17.62107623,"Tanner Gordon",27669,685299
2023,"Ryan Borucki","PIT",40.1,0.35564854,0.65743945,0.52083333,0.57647059,0.80526316,0.73454545,0.54734848,17.6037234,"Ryan Borucki",16350,621366
2023,"Domingo Germán","NYY",108.2,0.35005974,0.66911765,0.50756201,0.50170648,0.81684982,0.7067938,0.49364791,17.59751037,"Domingo German",17149,593334
2023,"Aaron Civale","- - -",122.1,0.29824561,0.62692308,0.46839223,0.61937716,0.85736196,0.78427205,0.51767048,17.59493671,"Aaron Civale",19479,650644
2023,"Gregory Soto","PHI",60.1,0.32599119,0.6171875,0.48033126,0.46621622,0.7721519,0.67456897,0.5300207,17.59383754,"Gregory Soto",19677,642397
2023,"Yency Almonte","LAD",48,0.27078385,0.60533333,0.42839196,0.46491228,0.83700441,0.71260997,0.47110553,17.59013605,"Yency Almonte",15068,622075
2024,"Michael Lorenzen","- - -",130.1,0.23900574,0.65547025,0.44683908,0.62,0.8579795,0.79421222,0.49904215,17.57853911,"Michael Lorenzen",14843,547179
2024,"Adrian Houser","NYM",69.1,0.23709369,0.62664474,0.44650752,0.66129032,0.88713911,0.83168317,0.53757737,17.57843137,"Adrian Houser",12718,605288
2024,"Derek Law","WSN",90,0.33333333,0.67579909,0.49780702,0.4978903,0.86261261,0.73568282,0.48026316,17.57831325,"Derek Law",13133,571882
2023,"Sandy Alcantara","MIA",184.2,0.35905512,0.69745003,0.53950753,0.60526316,0.84189723,0.76839237,0.53325983,17.57135524,"Sandy Alcantara",18684,645261
2023,"Derek Law","CIN",55,0.27959184,0.67803838,0.47445255,0.52554745,0.86163522,0.76043956,0.48905109,17.54545455,"Derek Law",13133,571882
2023,"Joel Payamps","MIL",70.2,0.2642487,0.61367837,0.43303571,0.5751634,0.82228916,0.7443299,0.48303571,17.54216867,"Joel Payamps",14332,606303
2024,"Edward Cabrera","MIA",96.1,0.29665588,0.63602484,0.45438799,0.49818182,0.8671875,0.73824651,0.4647806,17.53609831,"Edward Cabrera",21690,665795
2023,"Jake Irvin","WSN",121,0.22325103,0.61106383,0.43549138,0.65437788,0.8913649,0.83636364,0.54727527,17.53308365,"Jake Irvin",21504,663623
2023,"Brady Singer","KCR",159.2,0.27492212,0.62725904,0.45405819,0.51558074,0.90396158,0.78836425,0.50842266,17.53031102,"Brady Singer",25377,663903
2023,"James Paxton","BOS",96,0.31391201,0.6819788,0.49881657,0.50757576,0.85146805,0.74377224,0.50236686,17.52779953,"James Paxton",11828,572020
2024,"Davis Martin","CHW",50,0.29359823,0.67425968,0.4809417,0.45112782,0.88175676,0.74825175,0.49215247,17.51946108,"Davis Martin",21448,663436
