Season,Name,Team,IP,FA-X,FT-X,FC-X,FS-X,FO-X,SI-X,SL-X,CU-X,KC-X,EP-X,CH-X,SC-X,KN-X,NameASCII,PlayerId,MLBAMID
2021,"Wade LeBlanc","- - -",49,5.333715518983472,,0.7823419627305623,,,9.299893349095395,,-6.298725483029387,,,8.696279579636741,,,"Wade LeBlanc",5221,453281
2021,"Blake Parker","CLE",43.2,-1.6536735765861743,,1.7602917634988133,-4.4526076778288814,,,,2.780059814453125,,,,,,"Blake Parker",5224,453284
2021,"Jose Alvarez","SFG",64.2,6.843067842371323,,-0.22975949661151782,,,10.356426574844809,-1.987036685750942,,,,8.813370255862965,,,"Jose Alvarez",5358,501625
2021,"Michael Pineda","MIN",109.1,-4.41492628947997,,,,,,-0.664066505516589,,,,-9.761414104037815,,,"Michael Pineda",5372,501381
2021,"Jesse Chavez","ATL",33.2,-6.900641759236653,,-1.1444821057018932,,,-9.732368922877956,3.0245363946054495,,,,-9.38968247633714,,,"Jesse Chavez",5448,445926
2021,"Madison Bumgarner","ARI",146.1,5.909075469367589,,-0.6483327294610868,,,9.004535571948901,,-4.743360662557048,-4.427872180938721,,8.211387591655027,,,"Madison Bumgarner",5524,518516
2021,"Junior Guerra","LAA",65.1,-3.010730885350427,,,-6.271268136722526,,-8.352510253841457,2.7884642746274833,2.380730127550892,,,,,,"Junior Guerra",5702,448855
2021,"Trevor Cahill","PIT",37,-6.210830128192901,,-1.0388319801266601,,,-10.574309683088119,,,4.959553519884746,,-8.48397045015539,,,"Trevor Cahill",6249,502239
2021,"Jake Odorizzi","HOU",104.2,-6.8601319406546795,,1.1853797812210887,-6.6022289445247555,,,3.022230374371564,3.9863977432250977,,,,,,"Jake Odorizzi",6397,543606
2021,"Trevor May","NYM",62.2,-3.951536816261144,,,,,,2.3813218165488137,,,,-6.33150634765625,,,"Trevor May",6398,543507
2021,"José Cisnero","DET",61.2,-6.514847221724484,,1.445331343685288,,,-9.818516387372211,2.4931576377467106,,,,-9.890704154968262,,,"Jose Cisnero",6399,542585
2021,"Steve Cishek","LAA",68.1,-7.259974745453381,,,,,-11.02434951957615,8.251866868704804,,,,-10.34148915608724,,,"Steve Cishek",6483,518553
2021,"Alex Cobb","LAA",93.1,-6.5172410852768845,,,-8.372219718215812,,-9.441235205370509,2.5616918291364397,,2.1432592384368774,,,,,"Alex Cobb",6562,502171
2021,"Brad Brach","CIN",30,-6.125665394176137,,-1.302936315536499,,,-8.961669921875,2.5580043538411457,,,,-9.936097365159254,,,"Brad Brach",6627,542960
2021,"Carlos Carrasco","NYM",53.2,-4.398056503080986,,,,,-9.296039782072368,0.21432223562466896,5.198065824286882,,,-4.693664829480594,,,"Carlos Carrasco",6632,471911
2021,"Craig Kimbrel","- - -",59.2,-6.853307792467949,,,,,,,,4.972500998480362,,,,,"Craig Kimbrel",6655,518886
2021,"Alex Colomé","MIN",65,-1.682623009314904,,0.9581924181860446,,,8.875484466552734,-7.467761993408203,,,,-3.1611671447753906,,,"Alex Colome",6661,517008
