Season,Name,Team,IP,vFA,vFT,vFC,vFS,vFO,vSI,vSL,vCU,vKC,vEP,vCH,vSC,vKN,NameASCII,PlayerId,MLBAMID
2024,"Matt Waldron","SDP",146.2,90.62430275537635,,87.0350729413507,,,90.01586637415899,79.2860064722383,,,,,,77.58919958430816,"Matt Waldron",25550,663362
2023,"Matt Waldron","SDP",41.1,91.28333404098731,,86.68408757990056,,,91.3194956269654,79.77778003833912,,,,,,76.59166666666667,"Matt Waldron",25550,663362
2023,"George Kirby","SEA",190.2,96.11672380845324,,,84.852630436769,,95.80952380952381,86.25072363983813,,81.8401210455247,,86.59411381740196,,75.0999984741211,"George Kirby",25436,669923
2024,"George Kirby","SEA",191,96.0086426266137,,92.28182151100852,86.00298142591059,,96.04693072396576,87.20812188390313,,83.36460744598766,,,,73.9000015258789,"George Kirby",25436,669923
2021,"Adam Ottavino","BOS",62,95.4638671875,,87.26841976768092,93.14999389648438,,94.62349330357142,80.60894018020073,77.29999542236328,,,88.40526058799342,,,"Adam Ottavino",1247,493603
2021,"Sean Doolittle","- - -",49.2,93.09248116134752,,,80.42051031650641,,,84.14081682477679,79.72820575420673,,,,,,"Sean Doolittle",1581,448281
2021,"Matt Moore","PHI",73,92.28962185183626,,89.78947047183388,,,,,,80.7671890258789,,82.57695352687757,,,"Matt Moore",1890,519043
2021,"Zack Greinke","HOU",171,88.86888887709466,,83.87818714488637,,,89.49597316460321,83.56312916623456,71.18933557447099,62.56666564941406,52.20000076293945,86.35079360720562,,,"Zack Greinke",1943,425844
2021,"Clayton Kershaw","LAD",121.2,90.6298181005271,,,,,,87.07202432983684,74.23992673992674,,,87.04545454545455,,,"Clayton Kershaw",2036,477132
2021,"Adam Wainwright","STL",206.1,88.95049905936455,,84.91205054593374,,,89.05098493626883,,73.45965552606178,65.50908868963069,,82.72974258814102,,,"Adam Wainwright",2233,425794
2021,"Corey Kluber","NYY",80,89.87540823514344,,87.62472634787088,,,90.73065476190476,,81.92366412213741,,,84.66847826086956,,,"Corey Kluber",2429,446372
2021,"Lance Lynn","CHW",157,93.98368522072937,,88.6678274386305,,,92.38116075901803,82.25,82.12162162162163,,,87.13839285714286,,,"Lance Lynn",2520,458681
2021,"Jhoulys Chacín","COL",64.1,92.43400390625,,,,,92.85970901268117,88.20284354404251,81.17706770833334,,,84.64358716133313,,,"Jhoulys Chacin",2608,468504
2021,"Ross Detwiler","- - -",52.1,91.87575026604028,,85.13914223767202,,,91.10843886338272,,77.2746301907212,,,85.39230855305989,,,"Ross Detwiler",2859,446321
2021,"Kenley Jansen","LAD",69,,,92.5047694753577,,,93.93537765117328,81.97697088068182,,,,,,,"Kenley Jansen",3096,445276
2021,"Tony Watson","- - -",57.1,92.49124243951613,,,,,92.25657894736842,83.14497514204545,,,,85.86284722222223,,,"Tony Watson",3132,453265
2021,"Max Scherzer","- - -",179.1,94.29489361195735,,89.97854758522728,,,,85.84469696969697,76.86267974411231,,,84.9816201148568,,,"Max Scherzer",3137,453286
2021,"David Price","LAD",73.2,92.92685275607639,,88.92268743434875,,,92.85935575738917,,,76.62173594599184,,85.5159328654661,,,"David Price",3184,456034
2021,"Ervin Santana","KCR",65.1,93.35949732515658,,,,,93.9000015258789,84.37807829483695,,,,87.18000008719308,,,"Ervin Santana",3200,429722
2021,"T.J. McFarland","STL",38.2,,,81.0999984741211,,,88.84957042378917,79.47856794084821,,,,82.0635593220339,,,"T.J. McFarland",3237,519008
2021,"Joe Smith","- - -",39.2,87.46688248275163,,,,,85.7206233280642,77.41718147714758,78.9000015258789,,,77.35000174386161,,,"Joe Smith",3281,501925
2021,"Danny Duffy","KCR",61,93.6930537753635,,,,,93.56356740552326,83.42989233265753,77.32385498886808,,,85.17225558373237,,,"Danny Duffy",3542,518633
2021,"Liam Hendriks","CHW",71,97.69106233574244,,,,,,88.9944647606383,85.82990471670561,,,91.5999984741211,,,"Liam Hendriks",3548,521230
2021,"Yusmeiro Petit","OAK",78,87.58505366161616,,84.4714875125502,,,,,74.89932105654762,,,80.82355918684554,,,"Yusmeiro Petit",4020,433589
2021,"Derek Holland","DET",49.2,92.7548768578506,,,,,93.05549672314578,,,81.3932650951629,,84.99499969482422,,,"Derek Holland",4141,502706
2021,"Jake Arrieta","- - -",98.2,,,,,,91.38684931216032,88.29469950112951,80.35427663583295,,,87.00633476149868,,,"Jake Arrieta",4153,453562
2021,"Rafael Dolis","TOR",32,94.30000305175781,,,86.79861111111111,,94.77230568910257,86.44388629721223,,,,,,,"Rafael Dolis",4185,503569
2021,"Mark Melancon","SDP",64.2,92.01378973599138,,91.96545336174242,83,,,83.0999984741211,,82.2428187586326,,,,,"Mark Melancon",4264,453343
2021,"Justin Wilson","- - -",34,93.56068598646723,,89.57581304505814,,,,81.7842085988898,,,,,,,"Justin Wilson",4301,458677
2021,"Tyler Chatwood","- - -",32,95.76595939473903,,88.92102393034463,,,95.47978300206802,,81.00810942778716,,,87.26666550409226,,,"Tyler Chatwood",4338,543022
2021,"Charlie Morton","ATL",185.2,95.5177360983456,,87.50316514328063,,,94.62982005141389,,80.65127646857924,,,86.43081761006289,,,"Charlie Morton",4676,450203
2021,"Matt Shoemaker","MIN",60.1,91.63115234375,,,85.20084773349222,,91.65397644042969,82.20306326329023,,77.33846106896034,,,,,"Matt Shoemaker",4776,533167
2021,"Rich Hill","- - -",158.2,88.1285707642432,,83.69420590608016,,,84.80655657658812,69.64277569544798,71.76975511057309,66.82499694824219,,80.88648780616555,,,"Rich Hill",4806,448179
