Season,Name,Team,IP,FA-Z,FT-Z,FC-Z,FS-Z,FO-Z,SI-Z,SL-Z,CU-Z,KC-Z,EP-Z,CH-Z,SC-Z,KN-Z,NameASCII,PlayerId,MLBAMID
2021,"Wade LeBlanc","- - -",49,9.130712941915048,,5.932217795569618,,,6.21502002916838,,-3.3405594714852267,,,4.129229658741062,,,"Wade LeBlanc",5221,453281
2021,"Blake Parker","CLE",43.2,9.258115086410985,,5.904171328001384,2.0049100075998614,,,,-4.9072401864188055,,,,,,"Blake Parker",5224,453284
2021,"Jose Alvarez","SFG",64.2,9.169027376575631,,5.84777223741686,,,5.846916835948522,2.529546101888021,,,,2.5088221676209392,,,"Jose Alvarez",5358,501625
2021,"Michael Pineda","MIN",109.1,8.57761592782421,,,,,,1.1465065604762028,,,,5.197029709815979,,,"Michael Pineda",5372,501381
2021,"Jesse Chavez","ATL",33.2,5.329443295796712,,7.027438052065738,,,4.848301655537373,1.5063136044670553,,,,1.7738663600041316,,,"Jesse Chavez",5448,445926
2021,"Madison Bumgarner","ARI",146.1,8.943172811676549,,4.742125298566879,,,6.89357159588788,,-1.6197840321136536,-3.057260036468506,,4.216330075397172,,,"Madison Bumgarner",5524,518516
2021,"Junior Guerra","LAA",65.1,10.980015102652617,,,3.614843653649399,,8.298207819588372,0.7324884679933258,-5.099937242330964,,,,,,"Junior Guerra",5702,448855
2021,"Trevor Cahill","PIT",37,9.368851232528687,,3.676640425271135,,,5.148265974170665,,,-6.209013223648071,,0.8572919833585151,,,"Trevor Cahill",6249,502239
2021,"Jake Odorizzi","HOU",104.2,9.579086902094822,,6.084998341610557,3.3929510915220664,,,2.9952820813214336,-3.9531644185384116,,,,,,"Jake Odorizzi",6397,543606
2021,"Trevor May","NYM",62.2,10.307248618592125,,,,,,-2.0020511376596715,,,,8.296714154411765,,,"Trevor May",6398,543507
2021,"José Cisnero","DET",61.2,8.704421857081423,,4.289401502494353,,,5.929790964800186,1.260917262027138,,,,4.409783840179443,,,"Jose Cisnero",6399,542585
2021,"Steve Cishek","LAA",68.1,5.644360151447233,,,,,2.408979510895594,-2.865650271581224,,,,-0.8056909243265787,,,"Steve Cishek",6483,518553
2021,"Alex Cobb","LAA",93.1,9.980072021484375,,,2.4648934127938036,,7.1981157314277695,-1.1399462563650948,,-5.68742753594995,,,,,"Alex Cobb",6562,502171
2021,"Brad Brach","CIN",30,8.55969637784091,,7.0599565505981445,,,8.249762725830077,0.81142822265625,,,,0.6885476479163537,,,"Brad Brach",6627,542960
2021,"Carlos Carrasco","NYM",53.2,8.685584699603874,,,,,4.081040874280427,3.4089827887756003,-3.5933493680732194,,,0.7130313681685216,,,"Carlos Carrasco",6632,471911
2021,"Craig Kimbrel","- - -",59.2,8.272476170205662,,,,,,,,-3.128655107835879,,,,,"Craig Kimbrel",6655,518886
2021,"Alex Colomé","MIN",65,10.776642127403846,,4.790071593527652,,,3.8930654525756836,0.475427508354187,,,,6.7655998229980465,,,"Alex Colome",6661,517008
2021,"Andrew Miller","STL",36,7.084087107441213,,,,,2.2718221373477223,0.1162517385887089,,,,,,,"Andrew Miller",6785,453192
2021,"Johnny Cueto","SFG",114.2,8.8337896103675,,6.136571489531418,,,5.666199320370389,3.410073439280192,-0.18047980339296402,0.7155628800392151,,2.4358177185058594,,,"Johnny Cueto",6893,456501
2021,"Chase Anderson","PHI",48,10.260046168736048,,5.5971221923828125,,,9.902457399188348,1.6421607249491923,-8.255010233296977,,,8.50325772106885,,,"Chase Anderson",6895,502624
2021,"Martín Pérez","BOS",114,8.976722497508359,,6.363438302499277,,,6.155542434659848,,-2.953050358280255,,,5.680775373843716,,,"Martin Perez",6902,527048
2021,"Joakim Soria","- - -",37.1,10.384430186662168,,,,,9.635687828063965,-4.0435671547586605,-10.121423427875225,,,4.337048673081672,,,"Joakim Soria",6941,465657
2021,"Luis García","STL",33.1,7.348814828055246,,,2.3000004655223782,,6.045993241247852,-0.0018378928717639712,,,,,,,"Luis Garcia",6984,472610
2021,"Ian Kennedy","- - -",56.1,10.17891559446597,,3.0268981240012427,6.9752250671386715,,,-0.4169331011564835,,-6.582373743471892,,6.873807059393989,,,"Ian Kennedy",6986,453178
