"MLBAMID","PlayerId","Name","Team","Age","Season","TBF","K%","W","L","ERA","G","GS","QS","CG","ShO","SV","HLD","BS","IP","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","NameASCII","Balls","Strikes","Pitches","strike_pct","ball_pct","FA%","FT%","FC%","FS%","FO%","SI%","SL%","CU%","KC%","EP%","CH%","SC%","KN%","UN%","vFA","vFT","vFC","vFS","vFO","vSI","vSL","vCU","vKC","vEP","vCH","vSC","vKN","FA-X","FT-X","FC-X","FS-X","FO-X","SI-X","SL-X","CU-X","KC-X","EP-X","CH-X","SC-X","KN-X","FA-Z","FT-Z","FC-Z","FS-Z","FO-Z","SI-Z","SL-Z","CU-Z","KC-Z","EP-Z","CH-Z","SC-Z","KN-Z","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","Pace"
675627,23221,"Michael Grove","LAD",27,2024,216,0.25,4,4,5.117647442,39,2,0,0,0,0,7,0,51,46,31,29,6,16,0,6,2,0,54,"Michael Grove",300,527,827,0.637243047158404,0.362756952841596,0.01813785,NA,0.15961306,NA,NA,0.22128174,0.53083434,NA,0.07013301,NA,NA,NA,NA,NA,94.1,NA,92.88484978,NA,NA,96.03934666,86.87357965,NA,79.92068955,NA,NA,NA,NA,-0.6396891276,NA,2.180220792,NA,NA,-6.293388867,2.003102817,NA,4.817977905,NA,NA,NA,NA,10.40493062,NA,7.99210612,NA,NA,9.282756868,0.3902277306,NA,-7.667862596,NA,NA,NA,NA,0.29928741,0.62315271,0.45828295,0.5,0.88142292,0.75461741,0.49093108,18.31136738
669674,25379,"Sam Long","KCR",28,2024,176,0.25,3,3,3.164063254,43,0,0,0,0,1,7,1,42.2,34,17,15,5,17,1,1,3,1,44,"Sam Long",257,447,704,0.634943181818182,0.365056818181818,0.38461538,NA,NA,0.08547009,NA,NA,0.30769231,0.22222222,NA,NA,NA,NA,NA,NA,94.27926071,NA,NA,87.62333171,NA,NA,85.52083333,77.70000125,NA,NA,NA,NA,NA,3.485536024,NA,NA,7.27705485,NA,NA,-0.6290756508,-1.063404181,NA,NA,NA,NA,NA,9.939807581,NA,NA,4.794139099,NA,NA,1.339602153,-7.833313771,NA,NA,NA,NA,NA,0.27653631,0.67151163,0.47008547,0.53535354,0.83549784,0.74545455,0.49002849,18.62618596
640455,15873,"Sean Manaea","NYM",32,2024,738,0.24932249,12,6,3.467890102,32,32,15,0,0,0,0,0,181.2,134,75,70,21,63,0,9,4,0,184,"Sean Manaea",1050,1947,2997,0.64964964964965,0.35035035035035,0.11315087,NA,0.07142857,NA,NA,0.44692924,0.25066756,NA,NA,NA,0.11782377,NA,NA,NA,92.34542658,NA,88.40467107,NA,NA,92.30500257,79.46378266,NA,NA,NA,85.32238182,NA,NA,7.861455597,NA,0.7782234834,NA,NA,10.02459566,-5.222342541,NA,NA,NA,8.971801412,NA,NA,7.445994509,NA,4.3028901,NA,NA,5.447734579,1.360173821,NA,NA,NA,2.337337851,NA,NA,0.27850877,0.66277641,0.48731642,0.53805774,0.83781279,0.75958904,0.54339119,16.60267857
681676,24862,"Ryan Fernandez","STL",26,2024,285,0.24912281,1,6,3.510000536,62,0,0,0,0,2,12,3,66.2,58,30,26,4,32,5,2,0,0,71,"Ryan Fernandez",468,725,1193,0.607711651299246,0.392288348700754,0.40302267,NA,0.10327456,NA,NA,0.01259446,0.48110831,NA,NA,NA,NA,NA,NA,NA,95.48187663,NA,90.12276105,NA,NA,95.62666829,87.33438318,NA,NA,NA,NA,NA,NA,-4.510389709,NA,0.7704457229,NA,NA,-7.582177226,1.092320733,NA,NA,NA,NA,NA,NA,9.655121867,NA,5.291360002,NA,NA,9.335626221,1.550652256,NA,NA,NA,NA,NA,NA,0.30577223,0.68,0.47858942,0.44387755,0.8368984,0.70175439,0.46179681,17.00110011
543339,7146,"Daniel Hudson","LAD",37,2024,253,0.24901186,6,2,3.000000182,65,0,0,0,0,10,17,7,63,46,25,21,10,19,1,1,2,0,63,"Daniel Hudson",364,635,999,0.635635635635636,0.364364364364364,0.5025025,NA,NA,NA,NA,0.05105105,0.40940941,NA,NA,NA,0.03703704,NA,NA,NA,95.11215295,NA,NA,NA,NA,95.12941368,88.02811736,NA,NA,NA,88.69729862,NA,NA,-5.192328829,NA,NA,NA,NA,-9.532169716,-0.6493304936,NA,NA,NA,-10.10468107,NA,NA,8.853999043,NA,NA,NA,NA,6.1511404,3.324928787,NA,NA,NA,7.159800761,NA,NA,0.25306122,0.74656189,0.5045045,0.44354839,0.79473684,0.70833333,0.50950951,18.37415882
656550,16944,"Grant Holmes","ATL",28,2024,282,0.24822695,2,1,3.556097826,26,7,1,0,0,0,1,1,68.1,66,27,27,7,15,2,2,2,0,70,"Grant Holmes",332,692,1024,0.67578125,0.32421875,0.37304688,NA,0.08203125,NA,NA,NA,0.31640625,0.21679688,NA,NA,0.01171875,NA,NA,NA,94.56675393,NA,92.58214169,NA,NA,NA,86.50771605,83.95675852,NA,NA,91.29999797,NA,NA,-4.330699661,NA,-1.117104621,NA,NA,NA,0.1397702812,1.32135161,NA,NA,-5.727653901,NA,NA,8.656690028,NA,6.040112632,NA,NA,NA,-0.2678706617,-3.92699508,NA,NA,6.830563545,NA,NA,0.37546468,0.71399177,0.53613281,0.43069307,0.84726225,0.69398907,0.47460938,18.60728745
657514,16835,"Brennan Bernardino","BOS",32,2024,226,0.24778761,4,3,4.058824896,57,3,0,0,0,0,14,2,51,50,25,23,6,22,6,6,7,0,56,"Brennan Bernardino",295,565,860,0.656976744186046,0.343023255813953,NA,NA,0.11175786,NA,NA,0.46565774,0.07101281,0.35157159,NA,NA,NA,NA,NA,NA,NA,NA,86.75833639,NA,NA,91.39600342,84.17704598,78.92053142,NA,NA,NA,NA,NA,NA,NA,0.10797367,NA,NA,9.962803307,-1.492209059,-8.940644675,NA,NA,NA,NA,NA,NA,NA,2.542444428,NA,NA,3.203644981,0.3940848679,-0.8711936253,NA,NA,NA,NA,NA,0.22580645,0.61396304,0.44586729,0.63095238,0.84949833,0.80156658,0.5669383,18.94136292
671212,29608,"Joe Boyle","OAK",24,2024,226,0.24778761,3,6,6.419580891,13,10,1,0,0,0,1,0,47.2,42,35,34,4,40,0,4,7,1,56,"Joe Boyle",425,541,966,0.560041407867495,0.439958592132505,0.59006211,NA,NA,NA,NA,NA,0.37267081,0.03726708,NA,NA,NA,NA,NA,NA,97.71841763,NA,NA,NA,NA,NA,87.69722087,80.42500136,NA,NA,NA,NA,NA,-2.842738423,NA,NA,NA,NA,NA,2.443779246,4.309135861,NA,NA,NA,NA,NA,9.804673473,NA,NA,NA,NA,NA,-0.5795973698,-8.776102702,NA,NA,NA,NA,NA,0.20841683,0.59314775,0.39440994,0.44230769,0.83393502,0.72703412,0.48343685,18.29891304
669022,22201,"MacKenzie Gore","WSN",25,2024,731,0.24760602,10,12,3.895791702,32,32,11,0,0,0,0,0,166.1,171,93,72,15,65,0,11,14,0,181,"MacKenzie Gore",1074,1921,2995,0.641402337228715,0.358597662771285,0.55344021,NA,NA,NA,NA,NA,0.15831663,0.19572478,NA,NA,0.09251837,NA,NA,NA,96.00090525,NA,NA,NA,NA,NA,90.64598991,82.82542529,NA,NA,85.86823105,NA,NA,3.990875005,NA,NA,NA,NA,NA,-0.176435205,0.2753990356,NA,NA,7.550624365,NA,NA,10.28872657,NA,NA,NA,NA,NA,4.89118539,-5.596560534,NA,NA,5.600278338,NA,NA,0.29058663,0.70549738,0.50233801,0.51643192,0.84508349,0.75199468,0.51035404,19.15067265
666157,26378,"Nick Lodolo","CIN",26,2024,493,0.2474645,9,6,4.760115817,21,21,8,0,0,0,0,0,115.1,101,62,61,13,37,0,18,1,0,122,"Nick Lodolo",678,1187,1865,0.636461126005362,0.363538873994638,0.43025751,NA,NA,NA,NA,0.13251073,NA,0.27306867,NA,NA,0.16416309,NA,NA,NA,94.13915407,NA,NA,NA,NA,94.1044566,NA,81.6673855,NA,NA,88.1182981,NA,NA,11.03895048,NA,NA,NA,NA,11.60473336,NA,-5.280714713,NA,NA,11.14659448,NA,NA,5.746667876,NA,NA,NA,NA,3.203872248,NA,0.06524140334,NA,NA,0.9405351028,NA,NA,0.29877369,0.61013444,0.46030043,0.51119403,0.8440678,0.74009324,0.51877682,17.91458027
